message,category
"Your account is under review for suspicious activity.",	WhatsApp Scam
"Meeting invitation accepted successfully.",	Safe
"Loan repayment overdue. Avoid legal action immediately.",	Loan App Scam
"Congratulations! You won SportPesa jackpot.",	Betting Scam
"Urgent recruitment ongoing. Limited slots available.",	Fake Job Scam
"Government relief fund available. Register now.",	Government Scam
"Urgent KRA compliance notice. Update your details immediately.",	KRA Scam
"Betika bonus unlocked. Verify account now.",	Betting Scam
"Your account is under review for suspicious activity.",	WhatsApp Scam
"Congratulations! You won SportPesa jackpot.",	Betting Scam
"Branch loan application successful. Activate account now.",	Loan App Scam
"Your Tala account has pending verification.",	Loan App Scam
"Pay processing fee to receive your appointment letter.",	Fake Job Scam
"Your ATM card has been blocked. Reactivate now.",	Bank Scam
"Betika bonus unlocked. Verify account now.",	Betting Scam
"Exclusive betting prediction package available.",	Betting Scam
"Exclusive betting prediction package available.",	Betting Scam
"Congratulations! You won SportPesa jackpot.",	Betting Scam
"Claim your betting winnings immediately.",	Betting Scam
"Loan repayment overdue. Avoid legal action immediately.",	Loan App Scam
"KCB security alert: verify your account immediately.",	Bank Scam
"M-Pesa reversal request pending. Reverse funds immediately.",	MPESA Scam
"Confirm your M-Pesa PIN to avoid account deactivation.",	MPESA Scam
"HUDUMA verification required immediately.",	Government Scam
"Urgent recruitment ongoing. Limited slots available.",	Fake Job Scam
"Your WhatsApp account will be disabled within 24 hours.",	WhatsApp Scam
"KCB security alert: verify your account immediately.",	Bank Scam
"Urgent recruitment ongoing. Limited slots available.",	Fake Job Scam
"Urgent recruitment ongoing. Limited slots available.",	Fake Job Scam
"Please review the attached report document.",	Safe
"HUDUMA verification required immediately.",	Government Scam
"Loan repayment overdue. Avoid legal action immediately.",	Loan App Scam
"Dear customer, your line will be blocked unless you verify details.",	MPESA Scam
"KRA eTIMS verification pending.",	KRA Scam
"Betika bonus unlocked. Verify account now.",	Betting Scam
"Pay registration fee to secure your interview slot.",	Fake Job Scam
"National ID verification pending.",	Government Scam
"Dinner reservation confirmed for tonight.",	Safe
"M-Pesa account suspended. Verify immediately.",	MPESA Scam
"Pay registration fee to secure your interview slot.",	Fake Job Scam
"Absa Kenya requires immediate customer verification.",	Bank Scam
"HUDUMA verification required immediately.",	Government Scam
"Congratulations! You won SportPesa jackpot.",	Betting Scam
"HUDUMA verification required immediately.",	Government Scam
"KRA has detected suspicious tax activity on your account.",	KRA Scam
"Team meeting scheduled for tomorrow at 10 AM.",	Safe
"KRA has detected suspicious tax activity on your account.",	KRA Scam
"Lunch meeting confirmed for 1 PM.",	Safe
"HELB portal requires urgent verification.",	HELB Scam
"Confirm your M-Pesa PIN to avoid account deactivation.",	MPESA Scam
"Class has been moved to Room B.",	Safe
"HELB portal requires urgent verification.",	HELB Scam
"Exclusive betting prediction package available.",	Betting Scam
"Absa Kenya requires immediate customer verification.",	Bank Scam
"Your Fuliza account requires urgent verification.",	MPESA Scam
"Pay processing fee to receive your appointment letter.",	Fake Job Scam
"Your account is under review for suspicious activity.",	WhatsApp Scam
"Your M-Shwari account has suspicious activity.",	MPESA Scam
"Your M-Shwari account has suspicious activity.",	MPESA Scam
"Absa Kenya requires immediate customer verification.",	Bank Scam
"WhatsApp verification failed. Confirm OTP immediately.",	WhatsApp Scam
"Your KRA account will be locked within 24 hours.",	KRA Scam
"Betika bonus unlocked. Verify account now.",	Betting Scam
"Unauthorized login detected on your Co-op Bank account.",	Bank Scam
"Safaricom alert: unauthorized transaction detected on your line.",	MPESA Scam
"Pay registration fee to secure your interview slot.",	Fake Job Scam
"Your WhatsApp account will be disabled within 24 hours.",	WhatsApp Scam
"Branch loan application successful. Activate account now.",	Loan App Scam
"Class has been moved to Room B.",	Safe
"Instant loan approved. Confirm details to receive funds.",	Loan App Scam
"Network maintenance completed successfully.",	Safe
"Please review the attached report document.",	Safe
"Loan repayment overdue. Avoid legal action immediately.",	Loan App Scam
"HUDUMA verification required immediately.",	Government Scam
"Student loan suspension notice. Update account information.",	HELB Scam
"Your KRA account will be locked within 24 hours.",	KRA Scam
"Training session starts at 9 AM tomorrow.",	Safe
"HUDUMA verification required immediately.",	Government Scam
"Unauthorized login detected on your Co-op Bank account.",	Bank Scam
"Congratulations! You won SportPesa jackpot.",	Betting Scam
"M-Pesa account suspended. Verify immediately.",	MPESA Scam
"Congratulations, you have been shortlisted. Send facilitation fee.",	Fake Job Scam
"Absa Kenya requires immediate customer verification.",	Bank Scam
"Please review the attached report document.",	Safe
"Your M-Shwari account has suspicious activity.",	MPESA Scam
"Instant loan approved. Confirm details to receive funds.",	Loan App Scam
"Happy birthday and best wishes from the team.",	Safe
"Happy birthday and best wishes from the team.",	Safe
"HELB portal requires urgent verification.",	HELB Scam
"Congratulations! You won SportPesa jackpot.",	Betting Scam
"Happy birthday and best wishes from the team.",	Safe
"HELB portal requires urgent verification.",	HELB Scam
"Urgent recruitment ongoing. Limited slots available.",	Fake Job Scam
"Your HELB disbursement failed. Confirm details now.",	HELB Scam
"Confirm your M-Pesa PIN to avoid account deactivation.",	MPESA Scam
"Your order has been delivered successfully.",	Safe
"Student loan suspension notice. Update account information.",	HELB Scam
"Branch loan application successful. Activate account now.",	Loan App Scam
"Your account is under review for suspicious activity.",	WhatsApp Scam
"Banking profile incomplete. Confirm your login credentials.",	Bank Scam
"Network maintenance completed successfully.",	Safe
"Meeting invitation accepted successfully.",	Safe
"Your account is under review for suspicious activity.",	WhatsApp Scam
"Urgent recruitment ongoing. Limited slots available.",	Fake Job Scam
"Pay registration fee to secure your interview slot.",	Fake Job Scam
"Branch loan application successful. Activate account now.",	Loan App Scam
"Pay processing fee to receive your appointment letter.",	Fake Job Scam
"Student loan suspension notice. Update account information.",	HELB Scam
"Network maintenance completed successfully.",	Safe
"Betika bonus unlocked. Verify account now.",	Betting Scam
"Happy birthday and best wishes from the team.",	Safe
"Please submit your assignment before Friday.",	Safe
"Your ATM card has been blocked. Reactivate now.",	Bank Scam
"The principal will address students tomorrow.",	Safe
"Your HELB disbursement failed. Confirm details now.",	HELB Scam
"Your Tala account has pending verification.",	Loan App Scam
"County bursary application approved. Submit bank details.",	Government Scam
"Exclusive betting prediction package available.",	Betting Scam
"Claim your betting winnings immediately.",	Betting Scam
"Your Equity Bank account has been suspended.",	Bank Scam
"Monthly statement is available for review.",	Safe
"Branch loan application successful. Activate account now.",	Loan App Scam
"WhatsApp verification failed. Confirm OTP immediately.",	WhatsApp Scam
"Your account is under review for suspicious activity.",	WhatsApp Scam
"Customer care alert: reverse the money sent to your line urgently.",	MPESA Scam
"Your order has been delivered successfully.",	Safe
"Government relief fund available. Register now.",	Government Scam
"Your Tala account has pending verification.",	Loan App Scam
"Lunch meeting confirmed for 1 PM.",	Safe
"Your KRA PIN has been suspended. Verify now.",	KRA Scam
"Unauthorized login detected on your Co-op Bank account.",	Bank Scam
"Government attachment opportunities available. Apply immediately.",	Fake Job Scam
"Banking profile incomplete. Confirm your login credentials.",	Bank Scam
"Project presentation starts at 2 PM.",	Safe
"Meeting invitation accepted successfully.",	Safe
"Instant loan approved. Confirm details to receive funds.",	Loan App Scam
"Urgent KRA compliance notice. Update your details immediately.",	KRA Scam
"Your Tala account has pending verification.",	Loan App Scam
"Your M-Shwari account has suspicious activity.",	MPESA Scam
"Loan repayment overdue. Avoid legal action immediately.",	Loan App Scam
"The principal will address students tomorrow.",	Safe
"Student loan suspension notice. Update account information.",	HELB Scam
"KCB security alert: verify your account immediately.",	Bank Scam
"Government relief fund available. Register now.",	Government Scam
"Confirm your M-Pesa PIN to avoid account deactivation.",	MPESA Scam
"WhatsApp verification failed. Confirm OTP immediately.",	WhatsApp Scam
"Unauthorized login detected on your Co-op Bank account.",	Bank Scam
"Please submit your assignment before Friday.",	Safe
"Betika bonus unlocked. Verify account now.",	Betting Scam
"Betika bonus unlocked. Verify account now.",	Betting Scam
"Happy birthday and best wishes from the team.",	Safe
"HUDUMA verification required immediately.",	Government Scam
"National ID verification pending.",	Government Scam
"Please submit your assignment before Friday.",	Safe
"Monthly statement is available for review.",	Safe
"Happy birthday and best wishes from the team.",	Safe
"Your ATM card has been blocked. Reactivate now.",	Bank Scam
"Tax refund available. Confirm your bank details.",	KRA Scam
"Your HELB disbursement failed. Confirm details now.",	HELB Scam
"Your account is under review for suspicious activity.",	WhatsApp Scam
"Absa Kenya requires immediate customer verification.",	Bank Scam
"Your account is under review for suspicious activity.",	WhatsApp Scam
"KRA eTIMS verification pending.",	KRA Scam
"Government attachment opportunities available. Apply immediately.",	Fake Job Scam
"Unauthorized login detected on your Co-op Bank account.",	Bank Scam
"Dinner reservation confirmed for tonight.",	Safe
"Confirm your M-Pesa PIN to avoid account deactivation.",	MPESA Scam
"KRA eTIMS verification pending.",	KRA Scam
"Customer care alert: reverse the money sent to your line urgently.",	MPESA Scam
"Your order has been delivered successfully.",	Safe
"Congratulations! You won SportPesa jackpot.",	Betting Scam
"HELB portal requires urgent verification.",	HELB Scam
"Absa Kenya requires immediate customer verification.",	Bank Scam
"Your KRA account will be locked within 24 hours.",	KRA Scam
"KRA has detected suspicious tax activity on your account.",	KRA Scam
"Your Tala account has pending verification.",	Loan App Scam
"County bursary application approved. Submit bank details.",	Government Scam
"KCB security alert: verify your account immediately.",	Bank Scam
"Instant loan approved. Confirm details to receive funds.",	Loan App Scam
"Betika bonus unlocked. Verify account now.",	Betting Scam
"WhatsApp verification failed. Confirm OTP immediately.",	WhatsApp Scam
"Your Tala account has pending verification.",	Loan App Scam
"Your order has been delivered successfully.",	Safe
"Class has been moved to Room B.",	Safe
"Government relief fund available. Register now.",	Government Scam
"Urgent KRA compliance notice. Update your details immediately.",	KRA Scam
"Your account is under review for suspicious activity.",	WhatsApp Scam
"Betika bonus unlocked. Verify account now.",	Betting Scam
"Project presentation starts at 2 PM.",	Safe
"Class has been moved to Room B.",	Safe
"Your Fuliza account requires urgent verification.",	MPESA Scam
"Branch loan application successful. Activate account now.",	Loan App Scam
"Your HELB disbursement failed. Confirm details now.",	HELB Scam
"Team meeting scheduled for tomorrow at 10 AM.",	Safe
"Government relief fund available. Register now.",	Government Scam
"Student loan suspension notice. Update account information.",	HELB Scam
"Monthly statement is available for review.",	Safe
"Your WhatsApp account will be disabled within 24 hours.",	WhatsApp Scam
"Dear customer, your line will be blocked unless you verify details.",	MPESA Scam
"Student loan suspension notice. Update account information.",	HELB Scam
"Network maintenance completed successfully.",	Safe
"County bursary application approved. Submit bank details.",	Government Scam
"Please submit your assignment before Friday.",	Safe
"Your KRA account will be locked within 24 hours.",	KRA Scam
"Your KRA PIN has been suspended. Verify now.",	KRA Scam
"WhatsApp verification failed. Confirm OTP immediately.",	WhatsApp Scam
"Urgent recruitment ongoing. Limited slots available.",	Fake Job Scam
"Government relief fund available. Register now.",	Government Scam
"Network maintenance completed successfully.",	Safe
"KCB security alert: verify your account immediately.",	Bank Scam
"County bursary application approved. Submit bank details.",	Government Scam
"Your WhatsApp account will be disabled within 24 hours.",	WhatsApp Scam
"Your ATM card has been blocked. Reactivate now.",	Bank Scam
"Monthly statement is available for review.",	Safe
"Your HELB disbursement failed. Confirm details now.",	HELB Scam
"Your KRA PIN has been suspended. Verify now.",	KRA Scam
"Student loan suspension notice. Update account information.",	HELB Scam
"Loan repayment overdue. Avoid legal action immediately.",	Loan App Scam
"Your ATM card has been blocked. Reactivate now.",	Bank Scam
"Urgent KRA compliance notice. Update your details immediately.",	KRA Scam
"National ID verification pending.",	Government Scam
"Your HELB disbursement failed. Confirm details now.",	HELB Scam
"Your WhatsApp account will be disabled within 24 hours.",	WhatsApp Scam
"WhatsApp verification failed. Confirm OTP immediately.",	WhatsApp Scam
"Your WhatsApp account will be disabled within 24 hours.",	WhatsApp Scam
"Claim your betting winnings immediately.",	Betting Scam
"Dear customer, your line will be blocked unless you verify details.",	MPESA Scam
"Your order has been delivered successfully.",	Safe
"Dinner reservation confirmed for tonight.",	Safe
"County bursary application approved. Submit bank details.",	Government Scam
"Your M-Shwari account has suspicious activity.",	MPESA Scam
"HELB portal requires urgent verification.",	HELB Scam
"Congratulations! You won SportPesa jackpot.",	Betting Scam
"Tax refund available. Confirm your bank details.",	KRA Scam
"Family gathering planned for Sunday afternoon.",	Safe
"Your ATM card has been blocked. Reactivate now.",	Bank Scam
"Customer care alert: reverse the money sent to your line urgently.",	MPESA Scam
"National ID verification pending.",	Government Scam
"Dinner reservation confirmed for tonight.",	Safe
"Tax refund available. Confirm your bank details.",	KRA Scam
"Congratulations, you have been shortlisted. Send facilitation fee.",	Fake Job Scam
"Unauthorized login detected on your Co-op Bank account.",	Bank Scam
"Please submit your assignment before Friday.",	Safe
"Branch loan application successful. Activate account now.",	Loan App Scam
"Your Tala account has pending verification.",	Loan App Scam
"Urgent recruitment ongoing. Limited slots available.",	Fake Job Scam
"Claim your betting winnings immediately.",	Betting Scam
"HELB portal requires urgent verification.",	HELB Scam
"Instant loan approved. Confirm details to receive funds.",	Loan App Scam
"HUDUMA verification required immediately.",	Government Scam
"Confirm your M-Pesa PIN to avoid account deactivation.",	MPESA Scam
"Congratulations, you have been shortlisted. Send facilitation fee.",	Fake Job Scam
"Your WhatsApp account will be disabled within 24 hours.",	WhatsApp Scam
"WhatsApp verification failed. Confirm OTP immediately.",	WhatsApp Scam
"Team meeting scheduled for tomorrow at 10 AM.",	Safe
"KCB security alert: verify your account immediately.",	Bank Scam
"Your HELB disbursement failed. Confirm details now.",	HELB Scam
"Your Tala account has pending verification.",	Loan App Scam
"KRA eTIMS verification pending.",	KRA Scam
"Branch loan application successful. Activate account now.",	Loan App Scam
"Banking profile incomplete. Confirm your login credentials.",	Bank Scam
"Confirm your M-Pesa PIN to avoid account deactivation.",	MPESA Scam
"Network maintenance completed successfully.",	Safe
"KCB security alert: verify your account immediately.",	Bank Scam
"Instant loan approved. Confirm details to receive funds.",	Loan App Scam
"Banking profile incomplete. Confirm your login credentials.",	Bank Scam
"Your M-Shwari account has suspicious activity.",	MPESA Scam
"Your account is under review for suspicious activity.",	WhatsApp Scam
"National ID verification pending.",	Government Scam
"Training session starts at 9 AM tomorrow.",	Safe
"HUDUMA verification required immediately.",	Government Scam
"HUDUMA verification required immediately.",	Government Scam
"Student loan suspension notice. Update account information.",	HELB Scam
"Network maintenance completed successfully.",	Safe
"National ID verification pending.",	Government Scam
"Your KRA PIN has been suspended. Verify now.",	KRA Scam
"Pay registration fee to secure your interview slot.",	Fake Job Scam
"Your account is under review for suspicious activity.",	WhatsApp Scam
"Your order has been delivered successfully.",	Safe
"Class has been moved to Room B.",	Safe
"Student loan suspension notice. Update account information.",	HELB Scam
"HELB portal requires urgent verification.",	HELB Scam
"HELB portal requires urgent verification.",	HELB Scam
"HELB portal requires urgent verification.",	HELB Scam
"Lunch meeting confirmed for 1 PM.",	Safe
"National ID verification pending.",	Government Scam
"M-Pesa account suspended. Verify immediately.",	MPESA Scam
"Congratulations! You won SportPesa jackpot.",	Betting Scam
"Exclusive betting prediction package available.",	Betting Scam
"Your Tala account has pending verification.",	Loan App Scam
"HELB portal requires urgent verification.",	HELB Scam
"Urgent KRA compliance notice. Update your details immediately.",	KRA Scam
"Congratulations! You won SportPesa jackpot.",	Betting Scam
"National ID verification pending.",	Government Scam
"WhatsApp verification failed. Confirm OTP immediately.",	WhatsApp Scam
"Your KRA PIN has been suspended. Verify now.",	KRA Scam
"Exclusive betting prediction package available.",	Betting Scam
"Your HELB disbursement failed. Confirm details now.",	HELB Scam
"Your M-Shwari account has suspicious activity.",	MPESA Scam
"Tax refund available. Confirm your bank details.",	KRA Scam
"Your WhatsApp account will be disabled within 24 hours.",	WhatsApp Scam
"Student loan suspension notice. Update account information.",	HELB Scam
"Loan repayment overdue. Avoid legal action immediately.",	Loan App Scam
"HELB portal requires urgent verification.",	HELB Scam
"Branch loan application successful. Activate account now.",	Loan App Scam
"Class has been moved to Room B.",	Safe
"Congratulations, you have been shortlisted. Send facilitation fee.",	Fake Job Scam
"Congratulations! You won SportPesa jackpot.",	Betting Scam
"Loan repayment overdue. Avoid legal action immediately.",	Loan App Scam
"M-Pesa reversal request pending. Reverse funds immediately.",	MPESA Scam
"Team meeting scheduled for tomorrow at 10 AM.",	Safe
"Confirm your M-Pesa PIN to avoid account deactivation.",	MPESA Scam
"Training session starts at 9 AM tomorrow.",	Safe
"Absa Kenya requires immediate customer verification.",	Bank Scam
"The principal will address students tomorrow.",	Safe
"Government attachment opportunities available. Apply immediately.",	Fake Job Scam
"Congratulations! You won SportPesa jackpot.",	Betting Scam
"National ID verification pending.",	Government Scam
"National ID verification pending.",	Government Scam
"Congratulations! You won SportPesa jackpot.",	Betting Scam
"HUDUMA verification required immediately.",	Government Scam
"Family gathering planned for Sunday afternoon.",	Safe
"Team meeting scheduled for tomorrow at 10 AM.",	Safe
"HELB portal requires urgent verification.",	HELB Scam
"Loan repayment overdue. Avoid legal action immediately.",	Loan App Scam
"Your Equity Bank account has been suspended.",	Bank Scam
"Your HELB disbursement failed. Confirm details now.",	HELB Scam
"Student loan suspension notice. Update account information.",	HELB Scam
"Exclusive betting prediction package available.",	Betting Scam
"HUDUMA verification required immediately.",	Government Scam
"Branch loan application successful. Activate account now.",	Loan App Scam
"Tax refund available. Confirm your bank details.",	KRA Scam
"Pay processing fee to receive your appointment letter.",	Fake Job Scam
"Class has been moved to Room B.",	Safe
"Congratulations! You won SportPesa jackpot.",	Betting Scam
"Customer care alert: reverse the money sent to your line urgently.",	MPESA Scam
"HUDUMA verification required immediately.",	Government Scam
"Instant loan approved. Confirm details to receive funds.",	Loan App Scam
"Pay processing fee to receive your appointment letter.",	Fake Job Scam
"Your Equity Bank account has been suspended.",	Bank Scam
"Your account is under review for suspicious activity.",	WhatsApp Scam
"Exclusive betting prediction package available.",	Betting Scam
"Please review the attached report document.",	Safe
"Instant loan approved. Confirm details to receive funds.",	Loan App Scam
"Customer care alert: reverse the money sent to your line urgently.",	MPESA Scam
"Your WhatsApp account will be disabled within 24 hours.",	WhatsApp Scam
"The principal will address students tomorrow.",	Safe
"Student loan suspension notice. Update account information.",	HELB Scam
"Please review the attached report document.",	Safe
"National ID verification pending.",	Government Scam
"M-Pesa account suspended. Verify immediately.",	MPESA Scam
"M-Pesa account suspended. Verify immediately.",	MPESA Scam
